Identifier,Term,Class,Class.Nbr,Section,Primary.Instruction.Section,Class.Description,Official.Grade,Status.Cd,Status.Reason,Enrolled.Hours,Add.Date,IPEDS.Ethnicity,X1st.Gen.College.Std.Flag,Mail.City,Mail.State.Cd,Mail.Country,Home.City,Home.State.Cd,Home.County,Home.Country,Academic.Level.Begin.of.Term,Cum.GPA,Total.Cum.Units,Total.NAU.Units,Primary.Academic.Program,Primary.Academic.Plan,Sub.Plan,Student.Campus,College.Cd,College,Division.Cd,Division,Unit.Cd,Unit,First.Term.Enrolled.Cd.Ugrd,First.Term.Enrolled.Cd.Grad,Last.Term.Enrolled,Class.Campus.Cd,Class.Campus,Instruction.Mode,Age,Sex,1st.Gen.College.Std.Flag,section_code,Passed,Passed_int,hw_submissions,hw_score_mean,hw_time_total_min,hw_fast_submit_rate,hw_available,hw_completion_rate,unit1_exam_score,Attendance...Participation.Final.Score,Pre.Class.Prep.Final.Score,Check.Your.Understanding.Final.Score,Friday.Funday.Final.Score,Module.Knowledge.Assessments.Final.Score,Module.Practice.Knowledge.Assessments.Final.Score,Final.Knowledge.Assessment.Final.Score,Study.Skills.Videos.Final.Score,Final.Score,Projects.Final.Score,Assignments.Final.Score
1.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,1/7/2025,White,N,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Senior,3.26,137.0,113.0,UGRD-Degree Seeking,Biomedical Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1217.0,,1254.0,DISLN,Online,Online,22.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
2.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,1/6/2025,White,N,Tucson,AZ,United States,Tucson,AZ,Pima,USA,Freshman,2.25,37.0,37.0,UGRD-Degree Seeking,Business Econ (BSBA),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1217.0,,1257.0,DISLN,Online,Online,21.0,Male,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
4.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,1/23/2025,White,Y,Lake Havasu City,AZ,United States,Lake Havasu City,AZ,Mohave,USA,Junior,2.78,67.0,67.0,UGRD-Degree Seeking,Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1217.0,,1251.0,DISLN,Online,Online,21.0,Female,Y,1251-1089,False,0,,,,,,,,,,,,,,,,,,
8.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,11/4/2024,White,N,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Freshman,2.88,41.0,33.0,UGRD-Degree Seeking,Construction Mgt (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,21.0,Male,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
10.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,A,E,Enrolled,4.0,10/24/2024,White,Y,Mesa,AZ,United States,Mesa,AZ,Maricopa,USA,Junior,3.03,75.0,29.0,UGRD-Degree Seeking,Biomedical Science (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1247.0,,1257.0,DISLN,Online,Online,21.0,Female,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
12.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,1/12/2025,White,N,Tucson,AZ,United States,Tucson,AZ,Pima,USA,Sophomore,2.52,65.0,65.0,UGRD-Degree Seeking,Ecol & Evol Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1227.0,,1257.0,DISLN,Online,Online,20.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
13.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,12/12/2024,White,Y,Winchester,CA,United States,Winchester,CA, ,USA,Junior,3.12,81.0,81.0,UGRD-Degree Seeking,SecEd-General Sci (BSED),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1227.0,,1257.0,DISLN,Online,Online,20.0,Female,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
14.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,B,E,Enrolled,4.0,11/26/2024,White,N,Surprise,AZ,United States,Surprise,AZ,Maricopa,USA,Sophomore,3.14,63.0,63.0,UGRD-Degree Seeking,Ecol & Evol Biology (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1227.0,,1257.0,DISLN,Online,Online,21.0,Female,N,1251-1089,True,1,,,,,,,,,,,,,,,,,,
15.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,W,E,Withdrawn from Class,4.0,11/20/2024,White,N,Flagstaff,AZ,United States,Flagstaff,AZ,Coconino,USA,Freshman,2.62,26.0,26.0,UGRD-Degree Seeking,Construction Mgt (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1251.0,DISLN,Online,Online,20.0,Male,N,1251-1089,False,0,,,,,,,,,,,,,,,,,,
16.0,1251.0,MAT 125,1089.0,20.0,20.0,Precalculus Mathematics,C,E,Enrolled,4.0,12/9/2024,Hispanic/Latino,Y,Lake Havasu city,AZ,United States,Lake Havasu city,AZ,Mohave,USA,Freshman,2.48,34.0,34.0,UGRD-Degree Seeking,Cybersecurity (BS),,Flagstaff Mountain,ENVFORNSCI,College of Env For & Nat Sci,NATSCI,Natural Sciences (Div),MATHSTAT,Mathematics and Statistics,1237.0,,1257.0,DISLN,Online,Online,20.0,Male,Y,1251-1089,True,1,,,,,,,,,,,,,,,,,,
